最热图片地址,最热热度,最热歌曲名,最热来自,最热类型,最新图片地址,最新热度,最新歌曲名,最新来自,最新类型
"http://hiphotos.qianqian.com/ting/pic/item/f31fbe096b63f624422915978244ebf81a4ca329.jpg@s_1,w_300,h_300",45万,谁主沉浮,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/f31fbe096b63f624422915978244ebf81a4ca329.jpg@s_1,w_300,h_300",45万,谁主沉浮,by , 太合音乐人
"http://musicugc.qianqian.com/ugcdiy/pic/57d0acaf6909bede0d1886e390d03bf5.jpg@s_1,w_300,h_300",6万,边唱边学，儿歌的世界万分有趣,by , 开森笨小孩儿,"http://musicugc.qianqian.com/ugcdiy/pic/57d0acaf6909bede0d1886e390d03bf5.jpg@s_1,w_300,h_300",6万,边唱边学，儿歌的世界万分有趣,by , 开森笨小孩儿
"http://musicugc.qianqian.com/ugcdiy/pic/c5eed6506d7af547a0bb998adc977848.jpg@s_1,w_300,h_300",10万,儿歌是童年最好的陪伴,by , 开森笨小孩儿,"http://musicugc.qianqian.com/ugcdiy/pic/c5eed6506d7af547a0bb998adc977848.jpg@s_1,w_300,h_300",10万,儿歌是童年最好的陪伴,by , 开森笨小孩儿
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/55c2a524c909d5665bc848f4bd5ecc1b.jpg@s_1,w_300,h_300",13万,共赏山水如画，伊人形影相随,by , 小旭音乐,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/55c2a524c909d5665bc848f4bd5ecc1b.jpg@s_1,w_300,h_300",13万,共赏山水如画，伊人形影相随,by , 小旭音乐
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/b71606e14af955fd3a48dd4367bc2ef5.jpg@s_1,w_300,h_300",11万,音乐启蒙，儿歌精选,by , 当我想你的那一秒,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/b71606e14af955fd3a48dd4367bc2ef5.jpg@s_1,w_300,h_300",11万,音乐启蒙，儿歌精选,by , 当我想你的那一秒
"http://musicugc.qianqian.com/ugcdiy/pic/068dd413b1d92dd6408caa8214fd65fe.jpg@s_1,w_300,h_300",19万,综艺中不可错过的精彩翻唱,by , 乐坛大湿兄,"http://musicugc.qianqian.com/ugcdiy/pic/068dd413b1d92dd6408caa8214fd65fe.jpg@s_1,w_300,h_300",19万,综艺中不可错过的精彩翻唱,by , 乐坛大湿兄
"http://hiphotos.qianqian.com/ting/pic/item/4e4a20a4462309f73c4f13ee770e0cf3d7cad62e.jpg@s_1,w_300,h_300",33万,乾坤在手,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/4e4a20a4462309f73c4f13ee770e0cf3d7cad62e.jpg@s_1,w_300,h_300",33万,乾坤在手,by , 太合音乐人
"http://musicugc.qianqian.com/ugcdiy/pic/41d2159537a98e5c21183409236f3578.jpg@s_1,w_300,h_300",13万,情回白衣飘飘的年代,by , 来罐82年的可乐吧,"http://musicugc.qianqian.com/ugcdiy/pic/41d2159537a98e5c21183409236f3578.jpg@s_1,w_300,h_300",13万,情回白衣飘飘的年代,by , 来罐82年的可乐吧
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/57787f9bd6157f6210fecf73f5b851c9.jpg@s_1,w_300,h_300",8万,欣赏韵律唯美的古风曲,by , 神奇的二哈,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/57787f9bd6157f6210fecf73f5b851c9.jpg@s_1,w_300,h_300",8万,欣赏韵律唯美的古风曲,by , 神奇的二哈
"http://musicugc.qianqian.com/ugcdiy/pic/a743b0a415270df9893d481c98278146.jpg@s_1,w_300,h_300",3万,想知道自己为什么是单身吗,by , icon迷妹,"http://musicugc.qianqian.com/ugcdiy/pic/a743b0a415270df9893d481c98278146.jpg@s_1,w_300,h_300",3万,想知道自己为什么是单身吗,by , icon迷妹
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/6c5f26c3ff1c96b4b95fbf0205676536.jpg@s_1,w_300,h_300",3万,听，中式嘻哈里那满满江湖气,by , 黑金时代,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/6c5f26c3ff1c96b4b95fbf0205676536.jpg@s_1,w_300,h_300",3万,听，中式嘻哈里那满满江湖气,by , 黑金时代
"http://musicugc.qianqian.com/ugcdiy/pic/e3e8a55932ba4667a3213d4d4ddb6a20.jpg@s_1,w_300,h_300",5万,描金绣凤 恋恋旧日好时光,by , 游戏阿宅菌,"http://musicugc.qianqian.com/ugcdiy/pic/e3e8a55932ba4667a3213d4d4ddb6a20.jpg@s_1,w_300,h_300",5万,描金绣凤 恋恋旧日好时光,by , 游戏阿宅菌
"http://musicugc.qianqian.com/ugcdiy/pic/d2f454fc121c5328eb6894df3096eebb.jpg@s_1,w_300,h_300",22万,但愿人长久，千里共婵娟,by , 人字健人,"http://musicugc.qianqian.com/ugcdiy/pic/d2f454fc121c5328eb6894df3096eebb.jpg@s_1,w_300,h_300",22万,但愿人长久，千里共婵娟,by , 人字健人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/9e63ac7fcb1059ee9160f8236fe2027f.jpg@s_1,w_300,h_300",4万,清欢年岁，故梦浮沉,by , 看不惯我就来打我啊,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/9e63ac7fcb1059ee9160f8236fe2027f.jpg@s_1,w_300,h_300",4万,清欢年岁，故梦浮沉,by , 看不惯我就来打我啊
"http://hiphotos.qianqian.com/ting/pic/item/a5c27d1ed21b0ef4b5aa8f24d9c451da81cb3e0d.jpg@s_1,w_300,h_300",13万,最IN原创古风歌,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/a5c27d1ed21b0ef4b5aa8f24d9c451da81cb3e0d.jpg@s_1,w_300,h_300",13万,最IN原创古风歌,by , 太合音乐人
"http://hiphotos.qianqian.com/ting/pic/item/6c224f4a20a44623620e5ad09e22720e0df3d7b8.jpg@s_1,w_300,h_300",2万,TOP100古风歌曲,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/6c224f4a20a44623620e5ad09e22720e0df3d7b8.jpg@s_1,w_300,h_300",2万,TOP100古风歌曲,by , 太合音乐人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/884dcdbefd7bdb9eeea4bf41ed1f9c6a.jpg@s_1,w_300,h_300",20万,古风|奈何深情与谁说,by , 陌咩咩,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/884dcdbefd7bdb9eeea4bf41ed1f9c6a.jpg@s_1,w_300,h_300",20万,古风|奈何深情与谁说,by , 陌咩咩
"http://musicugc.qianqian.com/ugcdiy/pic/f3827dc5998db0cbff270b16200f9b78.jpg@s_1,w_300,h_300",13万,音乐即情感，舍此无他,by , 游戏阿宅菌,"http://musicugc.qianqian.com/ugcdiy/pic/f3827dc5998db0cbff270b16200f9b78.jpg@s_1,w_300,h_300",13万,音乐即情感，舍此无他,by , 游戏阿宅菌
"http://business.cdn.qianqian.com/qianqian/pic/bos_client_2830de6895dfcd5e7ba511a25c9e0ad3.jpg@s_1,w_300,h_300",14万,谁是你心中的男神音？,by , 太合音乐人,"http://business.cdn.qianqian.com/qianqian/pic/bos_client_2830de6895dfcd5e7ba511a25c9e0ad3.jpg@s_1,w_300,h_300",14万,谁是你心中的男神音？,by , 太合音乐人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/132d2c112761fae5c4bc393a444653da.jpg@s_1,w_300,h_300",6万,有美一人，清扬婉兮,by , 多的是气质,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/132d2c112761fae5c4bc393a444653da.jpg@s_1,w_300,h_300",6万,有美一人，清扬婉兮,by , 多的是气质
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/4aa9a4893a61cc480f34b1a6479e8093.jpg@s_1,w_300,h_300",3万,灯火阑珊听河图,by , 太合音乐人,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/4aa9a4893a61cc480f34b1a6479e8093.jpg@s_1,w_300,h_300",3万,灯火阑珊听河图,by , 太合音乐人
"http://hiphotos.qianqian.com/ting/pic/item/29381f30e924b89951e66dad6d061d950b7bf649.jpg@s_1,w_300,h_300",53万,故城旧事,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/29381f30e924b89951e66dad6d061d950b7bf649.jpg@s_1,w_300,h_300",53万,故城旧事,by , 太合音乐人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/bba74daef5cc71ae4f78e3a72f979c65.jpg@s_1,w_300,h_300",11万,浮生若梦 为欢几何,by , 麦芽糖糖,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/bba74daef5cc71ae4f78e3a72f979c65.jpg@s_1,w_300,h_300",11万,浮生若梦 为欢几何,by , 麦芽糖糖
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/cda7840b2a2bc93e535ec86636ef1712.jpg@s_1,w_300,h_300",6万, 半世烟尘，秋水伊人,by , 周截棍的双杰伦,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/cda7840b2a2bc93e535ec86636ef1712.jpg@s_1,w_300,h_300",6万, 半世烟尘，秋水伊人,by , 周截棍的双杰伦
"http://musicugc.qianqian.com/ugcdiy/pic/c3962e652655004aa355908b37bc8227.jpg@s_1,w_300,h_300",10万,国语古风，细腻地抚摸你的耳膜,by , 企鹅老大,"http://musicugc.qianqian.com/ugcdiy/pic/c3962e652655004aa355908b37bc8227.jpg@s_1,w_300,h_300",10万,国语古风，细腻地抚摸你的耳膜,by , 企鹅老大
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/f8ab77d4e7d0271d8f0357abc01241b0.jpg@s_1,w_300,h_300",4万,我自是年少，韶华倾负,by , 陌咩咩,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/f8ab77d4e7d0271d8f0357abc01241b0.jpg@s_1,w_300,h_300",4万,我自是年少，韶华倾负,by , 陌咩咩
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/1cee93b1789e3f831830e845889a1a97.jpg@s_1,w_300,h_300",6万,美如卷，抵不过逝水流年,by , 泡泡芭比糖,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/1cee93b1789e3f831830e845889a1a97.jpg@s_1,w_300,h_300",6万,美如卷，抵不过逝水流年,by , 泡泡芭比糖
"http://hiphotos.qianqian.com/ting/pic/item/9f510fb30f2442a7bf1db478d743ad4bd01302df.jpg@s_1,w_300,h_300",13万,四时美景，皆可入歌,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/9f510fb30f2442a7bf1db478d743ad4bd01302df.jpg@s_1,w_300,h_300",13万,四时美景，皆可入歌,by , 太合音乐人
"http://hiphotos.qianqian.com/ting/pic/item/ac6eddc451da81cb11c81d755466d0160924315f.jpg@s_1,w_300,h_300",94万,TOP100古风歌曲,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/ac6eddc451da81cb11c81d755466d0160924315f.jpg@s_1,w_300,h_300",94万,TOP100古风歌曲,by , 太合音乐人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/9f85f07017a27f268ef10f7e7bbabca9.jpg@s_1,w_300,h_300",10万,用我三生烟火，换你一世迷离。,by , 爱吃饭团的小泽泽,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/9f85f07017a27f268ef10f7e7bbabca9.jpg@s_1,w_300,h_300",10万,用我三生烟火，换你一世迷离。,by , 爱吃饭团的小泽泽
"http://business.cdn.qianqian.com/qianqian/pic/bos_client_47e90e27ccd030f65897cb8584ce4b9d.jpg@s_1,w_300,h_300",47万,毕业季 不说再见,by , 我装个比怎么了,"http://business.cdn.qianqian.com/qianqian/pic/bos_client_47e90e27ccd030f65897cb8584ce4b9d.jpg@s_1,w_300,h_300",47万,毕业季 不说再见,by , 我装个比怎么了
"http://hiphotos.qianqian.com/ting/pic/item/024f78f0f736afc3e0a6523fb419ebc4b64512c5.jpg@s_1,w_300,h_300",70万,2016年2月网络热歌合辑,by , 千千音乐,"http://hiphotos.qianqian.com/ting/pic/item/024f78f0f736afc3e0a6523fb419ebc4b64512c5.jpg@s_1,w_300,h_300",70万,2016年2月网络热歌合辑,by , 千千音乐
"http://hiphotos.qianqian.com/ting/pic/item/bd315c6034a85edf6c457d4c4f540923dc547590.jpg@s_1,w_300,h_300",60万,今人曲唱古人歌,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/bd315c6034a85edf6c457d4c4f540923dc547590.jpg@s_1,w_300,h_300",60万,今人曲唱古人歌,by , 太合音乐人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/57e0a7f14b4dcdde4983e0cded91860b.jpg?authorization=bce-auth-v1/e6ebbb26f10846d4b2e689d58bee0357/2016-11-05T11:24:58Z/-1//572803a040b76b640ba8b46a1d0be6097eb8bb2faf8c377028cf160046e61cde@s_1,w_300,h_300",7万,何处繁华笙歌落,by , 绽最美的时光,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/57e0a7f14b4dcdde4983e0cded91860b.jpg?authorization=bce-auth-v1/e6ebbb26f10846d4b2e689d58bee0357/2016-11-05T11:24:58Z/-1//572803a040b76b640ba8b46a1d0be6097eb8bb2faf8c377028cf160046e61cde@s_1,w_300,h_300",7万,何处繁华笙歌落,by , 绽最美的时光
"http://musicugc.qianqian.com/ugcdiy/pic/36adba52c48f39cb03402488a04c1a74.jpg@s_1,w_300,h_300",20万,壶酒一饮无，仗剑踏歌行,by , icon迷妹,"http://musicugc.qianqian.com/ugcdiy/pic/36adba52c48f39cb03402488a04c1a74.jpg@s_1,w_300,h_300",20万,壶酒一饮无，仗剑踏歌行,by , icon迷妹
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/f35df079dfc6cb99534dd6d96f4235c1.jpg@s_1,w_300,h_300",11万,全世界流行的宝宝音乐,by , 开森笨小孩儿,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/f35df079dfc6cb99534dd6d96f4235c1.jpg@s_1,w_300,h_300",11万,全世界流行的宝宝音乐,by , 开森笨小孩儿
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/70734bf9d31c12d76c6434bacd78d210.jpg@s_1,w_300,h_300",53万,【突破次元】异次元歌姬，带你畅游幻想乡,by , 理想音乐,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/70734bf9d31c12d76c6434bacd78d210.jpg@s_1,w_300,h_300",53万,【突破次元】异次元歌姬，带你畅游幻想乡,by , 理想音乐
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/33531029cb74aab7b0458cdc10746784.jpg@s_1,w_300,h_300",7万,听古风，倾诉宿命,by , 游戏阿宅菌,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/33531029cb74aab7b0458cdc10746784.jpg@s_1,w_300,h_300",7万,听古风，倾诉宿命,by , 游戏阿宅菌
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/1415d2b24d351c40cc4ba9938043dd75.jpg@s_1,w_300,h_300",9万,无你处，无江湖,by , 太合音乐人,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/1415d2b24d351c40cc4ba9938043dd75.jpg@s_1,w_300,h_300",9万,无你处，无江湖,by , 太合音乐人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/7680c1e2bf25b62056873e9fcd0c69c7.jpg@s_1,w_300,h_300",16万,来这里听一曲江湖,by , 爱上喵星人,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/7680c1e2bf25b62056873e9fcd0c69c7.jpg@s_1,w_300,h_300",16万,来这里听一曲江湖,by , 爱上喵星人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/a10b7395f68a4f757dca2e792bfffefb.jpg@s_1,w_300,h_300",19万,最婉转似人声的乐器——葫芦丝,by , 多的是气质,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/a10b7395f68a4f757dca2e792bfffefb.jpg@s_1,w_300,h_300",19万,最婉转似人声的乐器——葫芦丝,by , 多的是气质
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/a7443be5d005b35e7e2d7f640476b2f0.jpg@s_1,w_300,h_300",6万,三杯两盏淡酒，怎敌他晚来风急,by , 陌咩咩,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/a7443be5d005b35e7e2d7f640476b2f0.jpg@s_1,w_300,h_300",6万,三杯两盏淡酒，怎敌他晚来风急,by , 陌咩咩
"http://hiphotos.qianqian.com/ting/pic/item/a8773912b31bb05112a19ae3327adab44bede070.jpg@s_1,w_300,h_300",24万,黄粱一梦,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/a8773912b31bb05112a19ae3327adab44bede070.jpg@s_1,w_300,h_300",24万,黄粱一梦,by , 太合音乐人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/a38b02af98e20b8153732edea0be399b.jpg@s_1,w_300,h_300",19万,【儿歌大全】摇啊摇，摇到你长大,by , 只吃胡萝卜,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/a38b02af98e20b8153732edea0be399b.jpg@s_1,w_300,h_300",19万,【儿歌大全】摇啊摇，摇到你长大,by , 只吃胡萝卜
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/50d10c0360545a1a02fe3f9933e8ca61.jpg@s_1,w_300,h_300",7万,念念相思君不知,by , 太合音乐人,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/50d10c0360545a1a02fe3f9933e8ca61.jpg@s_1,w_300,h_300",7万,念念相思君不知,by , 太合音乐人
"http://hiphotos.qianqian.com/ting/pic/item/86d6277f9e2f070862d5d7b5ef24b899a801f2b7.jpg@s_1,w_300,h_300",22万,百度原创音乐榜vol.80,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/86d6277f9e2f070862d5d7b5ef24b899a801f2b7.jpg@s_1,w_300,h_300",22万,百度原创音乐榜vol.80,by , 太合音乐人
"http://business.cdn.qianqian.com/qianqian/pic/bos_client_7d76d987940dba09d412367a26a92db6.jpg@s_1,w_300,h_300",21万,中国游戏里的古风情怀,by , super悟空,"http://business.cdn.qianqian.com/qianqian/pic/bos_client_7d76d987940dba09d412367a26a92db6.jpg@s_1,w_300,h_300",21万,中国游戏里的古风情怀,by , super悟空
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/540fea0af85ba014e8f50106494a8e77.jpg@s_1,w_300,h_300",23万,【突破次元】洛天依の音乐游乐场,by , 理想音乐,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/540fea0af85ba014e8f50106494a8e77.jpg@s_1,w_300,h_300",23万,【突破次元】洛天依の音乐游乐场,by , 理想音乐
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/3d8bf1e9bf9cf511c282879c862530a7.jpg@s_1,w_300,h_300",5万,是谁把民谣比喻成酒,by , 我是你的小宝宝,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/3d8bf1e9bf9cf511c282879c862530a7.jpg@s_1,w_300,h_300",5万,是谁把民谣比喻成酒,by , 我是你的小宝宝
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/aa4b14ac706f480b9bbd8cfeae949239.jpg@s_1,w_300,h_300",9万,"生生世世,两两相忘",by , 当我想你的那一秒,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/aa4b14ac706f480b9bbd8cfeae949239.jpg@s_1,w_300,h_300",9万,"生生世世,两两相忘",by , 当我想你的那一秒
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/538e6d4d5da97e4a84aed9d0c24dccec.jpg@s_1,w_300,h_300",12万,跨过山和大海，和你一起旅行,by , 只吃胡萝卜,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/538e6d4d5da97e4a84aed9d0c24dccec.jpg@s_1,w_300,h_300",12万,跨过山和大海，和你一起旅行,by , 只吃胡萝卜
"http://hiphotos.qianqian.com/ting/pic/item/1e30e924b899a9013785f5291a950a7b0208f579.jpg@s_1,w_300,h_300",59万,百度乐播|惜君电台最终期,by , 千千音乐,"http://hiphotos.qianqian.com/ting/pic/item/1e30e924b899a9013785f5291a950a7b0208f579.jpg@s_1,w_300,h_300",59万,百度乐播|惜君电台最终期,by , 千千音乐
"http://hiphotos.qianqian.com/ting/pic/item/ac6eddc451da81cb44c1eedc5666d016092431ff.jpg@s_1,w_300,h_300",14万,南山南,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/ac6eddc451da81cb44c1eedc5666d016092431ff.jpg@s_1,w_300,h_300",14万,南山南,by , 太合音乐人
"http://musicugc.qianqian.com/ugcdiy/pic/59eb6ef6207c6da1c5b4821d34df0cae.jpg@s_1,w_300,h_300",7万,趣味动物歌单，纯真童话世界,by , 开森笨小孩儿,"http://musicugc.qianqian.com/ugcdiy/pic/59eb6ef6207c6da1c5b4821d34df0cae.jpg@s_1,w_300,h_300",7万,趣味动物歌单，纯真童话世界,by , 开森笨小孩儿
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/8644f17206f1ab9c61a98f8cc791860f.jpg@s_1,w_300,h_300",4万,蝶影分谁一世情，独为你谱一曲,by , 只吃胡萝卜,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/8644f17206f1ab9c61a98f8cc791860f.jpg@s_1,w_300,h_300",4万,蝶影分谁一世情，独为你谱一曲,by , 只吃胡萝卜
"http://business.cdn.qianqian.com/qianqian/pic/bos_client_eb0f512a425467bd5637baaa5060f654.jpg@s_1,w_300,h_300",25万,这些歌令人侠气顿生,by , 太合音乐人,"http://business.cdn.qianqian.com/qianqian/pic/bos_client_eb0f512a425467bd5637baaa5060f654.jpg@s_1,w_300,h_300",25万,这些歌令人侠气顿生,by , 太合音乐人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/57787f9bd6157f6210fecf73f5b851c9.jpg@s_1,w_300,h_300",8万,欣赏韵律唯美的古风曲,by , 神奇的二哈,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/57787f9bd6157f6210fecf73f5b851c9.jpg@s_1,w_300,h_300",8万,欣赏韵律唯美的古风曲,by , 神奇的二哈
"http://hiphotos.qianqian.com/ting/pic/item/83025aafa40f4bfb7ca5ce2c054f78f0f7361854.jpg@s_1,w_300,h_300",56万,听听歌，静静心,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/83025aafa40f4bfb7ca5ce2c054f78f0f7361854.jpg@s_1,w_300,h_300",56万,听听歌，静静心,by , 太合音乐人
"http://musicugc.cdn.qianqian.com/ugcdiy/pic/9fc761d5480b302761797c4c6f5f9049.jpg@s_1,w_300,h_300",8万,最新原创古风音乐推荐,by , Tai乐之声,"http://musicugc.cdn.qianqian.com/ugcdiy/pic/9fc761d5480b302761797c4c6f5f9049.jpg@s_1,w_300,h_300",8万,最新原创古风音乐推荐,by , Tai乐之声
"http://hiphotos.qianqian.com/ting/pic/item/86d6277f9e2f0708cf9233c7ec24b899a801f266.jpg@s_1,w_300,h_300",20万,古风歌里的英雄气,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/86d6277f9e2f0708cf9233c7ec24b899a801f266.jpg@s_1,w_300,h_300",20万,古风歌里的英雄气,by , 太合音乐人
"http://hiphotos.qianqian.com/ting/pic/item/1ad5ad6eddc451daf61d62f6b0fd5266d11632c7.jpg@s_1,w_300,h_300",60万,本周不能错过的中国风单曲,by , 太合音乐人,"http://hiphotos.qianqian.com/ting/pic/item/1ad5ad6eddc451daf61d62f6b0fd5266d11632c7.jpg@s_1,w_300,h_300",60万,本周不能错过的中国风单曲,by , 太合音乐人
"http://business.cdn.qianqian.com/qianqian/pic/bos_client_5e0a56f5240e649eac0c17fe5fd3d5cd.jpg@s_1,w_300,h_300",18万,纯粹悠扬的声音，一把吉他的故事,by , 爱听黑炮的兔子哥,"http://business.cdn.qianqian.com/qianqian/pic/bos_client_5e0a56f5240e649eac0c17fe5fd3d5cd.jpg@s_1,w_300,h_300",18万,纯粹悠扬的声音，一把吉他的故事,by , 爱听黑炮的兔子哥
